Name,Type,Rating,Distance_km
Wild Wisteria Cafe & Restaurant,cafe,4.8,6.21
AMA Cafe | Rajpur Road,cafe,4.8,11.24
Café De Piccolo,cafe,4.4,11.6
The Valley Cafe,cafe,4.3,6.4
PG Cafe,cafe,4.8,6.23
Slake Cafe - Best Italian Restaurant in Dehradun | Best Cafe in Dehradun | Best Cafe - Best Coffee Shop Old Rajpur Road Doon,cafe,4.8,11.58
Froth&Bubbles Cafe,cafe,4.6,6.47
Farzi Café Dehradun – Rooftop Dining Where Flavour Meets the Sky,cafe,4.4,13.22
Chainsoo Cafe & Kitchen - Best Cafe Near Graphic Era University Clement Town,cafe,4.9,6.87
Yellow Hills Uttarakhandi and Multi Cuisine Restaurant,cafe,4.4,3.0
The Porch,cafe,4.5,6.33
Tavaasa Cafe,cafe,4.3,9.02
Townscape Rooftop Restaurant,cafe,4.6,3.19
THE URBAN PENDU CAFE,cafe,4.3,6.95
The Moksha Cafe,cafe,4.7,6.59
V Cafe Student Bistro,cafe,4.8,6.81
Cafex,cafe,4.9,8.29
Tapri - The Teafe,cafe,4.2,6.72
Richy Rich Cafe,cafe,4.7,6.31
The Penthouse Bar | Cafe | Sky Lounge,cafe,4.5,7.08
Go Dutch Café & Restaurant,cafe,4.3,6.57
Friends on Table - 'The Garden Cafe',cafe,4.6,5.73
Tamtara Cafe,cafe,4.3,11.74
Yellow Marigold Experience Studio and House Cafe,cafe,4.7,5.63
Cafe' Greek Orchid,cafe,4.1,6.23
Lime Light Cafe,cafe,4.7,6.26
JENNY'S one-stop Cafe,cafe,4.6,6.78
Caffein's Pocket cafe,cafe,3.9,6.55
Maatea Cafe,cafe,4.9,7.66
Pinewood Café & Kitchen,cafe,4.5,6.33
Hungry Hobbit Coffe House,cafe,4,6.94
Tree Cafe Restaurant | Restaurant in Dehradun,cafe,3.9,6.63
Cafe By Mistakes,cafe,4.7,6.91
Just Cafe,cafe,4.2,6.14
AMA Cafe | Mall of Dehradun,cafe,4.9,1.9
Maulyar BookCafe,cafe,4.9,7.85
MUSEE Art Café,cafe,4.3,12.09
Nothing Before Coffee (NBC),cafe,4.6,8.08
